,kind=lr-nanswers=12-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=12-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=12-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=12-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=6-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=6-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=lr-nanswers=6-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=lr-nanswers=6-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=12-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=11-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=11-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=5-gammaprove=0.15-gammadisprove=0.85_fullstatespace,kind=maximin_raw-nanswers=6-nstudents=5-gammaprove=0.85-gammadisprove=0.15_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=11-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=11-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=5-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=12-nstudents=5-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=11-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=11-condition=low_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=5-condition=high_fullstatespace,kind=nonparametric_raw-nanswers=6-nstudents=5-condition=low_fullstatespace
"('some', 'some', 'right')",-4.826038458914856e-10,4.826038458914856e-10,-5.8230187342554504e-05,5.8230187342554504e-05,-2.1961088707504973e-05,2.1961088707504973e-05,-0.007660022802842219,0.007660022802842219,-228.96733931122998,-225.4981372004538,-104.07606332328638,-100.60686121251015,-114.48366965561499,-111.01446754483878,-52.03803166164319,-48.56882955086697,3.682032456708839e-11,-3.682032456708839e-11,8.079893991919107e-05,-8.079893991919107e-05,1.6689199355823803e-08,-1.6689199355823803e-08,0.0008925383791495989,-0.0008925383791495989
"('some', 'some', 'wrong')",4.819538103104107e-10,-4.819538103104107e-10,5.823018733322836e-05,-5.823018733322836e-05,2.1961088680193185e-05,-2.1961088680193185e-05,0.007660022802840101,-0.007660022802840101,-225.49813720045378,-228.96733931123,-100.60686121251015,-104.07606332328636,-111.01446754483877,-114.483669655615,-48.568829550866965,-52.03803166164318,-3.682032456708839e-11,3.682032456708839e-11,-8.079893991919107e-05,8.079893991919107e-05,-1.6689199355823803e-08,1.6689199355823803e-08,-0.0008925383791495989,0.0008925383791495989
"('some', 'most', 'right')",-4.910528902215044,4.910528902215044,-5.696971014750175,5.696971014750175,-2.76676523156775,2.76676523156775,-3.5376540822257665,3.5376540822257665,-228.96733931122998,-204.6829245357965,-104.07606332328638,-79.79164854785289,-114.48366965561499,-100.60686121251017,-52.03803166164319,-38.161223218538325,0.036449781986618746,-0.036449781986618746,0.7111846448096664,-0.7111846448096664,0.03507418692841213,-0.03507418692841213,0.4865995057973773,-0.4865995057973773
"('some', 'most', 'wrong')",4.910528902214283,-4.910528902214283,5.696971014750162,-5.696971014750162,2.766765231567717,-2.766765231567717,3.5376540822257634,-3.5376540822257634,-204.6829245357965,-228.96733931123,-79.79164854785287,-104.07606332328636,-100.60686121251017,-114.483669655615,-38.16122321853834,-52.03803166164318,-0.036449781986618746,0.036449781986618746,-0.7111846448096664,0.7111846448096664,-0.03507418692841213,0.03507418692841213,-0.4865995057973773,0.4865995057973773
"('some', 'all', 'right')",-20.163059853679513,20.163059853679513,-20.531769403943688,20.531769403943688,-8.97939360289966,8.97939360289966,-9.674877148879359,9.674877148879359,-228.96733931122998,-187.33691398191544,-104.07606332328638,-62.445637993971815,-114.48366965561499,-93.66845699095771,-52.03803166164319,-31.222818996985907,3.8950942740779624,-3.8950942740779624,5.079821330872683,-5.079821330872683,1.2358916804482405,-1.2358916804482405,2.152585538700034,-2.152585538700034
"('some', 'all', 'wrong')",20.163059853679062,-20.163059853679062,20.531769403943684,-20.531769403943684,8.979393602899632,-8.979393602899632,9.674877148879355,-9.674877148879355,-187.33691398191544,-228.96733931123,-62.44563799397183,-104.07606332328636,-93.66845699095771,-114.483669655615,-31.22281899698591,-52.03803166164318,-3.8950942740779624,3.8950942740779624,-5.0798213308726865,5.0798213308726865,-1.2358916804482405,1.2358916804482405,-2.152585538700034,2.152585538700034
"('most', 'none', 'right')",124.2452946621496,-124.2452946621496,62.22096451658623,-62.22096451658623,60.54423277738773,-60.54423277738773,30.56818008193259,-30.56818008193259,20.815212664657224,-228.96733931123,20.815212664657267,-104.07606332328636,10.407606332328612,-114.483669655615,10.40760633232864,-52.03803166164318,-33.89594263098767,33.89594263098767,-17.26848767488341,17.26848767488341,-15.93571814240888,15.93571814240888,-8.286445012787723,8.286445012787723
"('most', 'none', 'wrong')",-124.24529466214963,124.24529466214963,-62.22096451658624,62.22096451658624,-60.54423277738775,60.54423277738775,-30.568180081932592,30.568180081932592,-228.96733931122998,20.815212664657267,-104.07606332328638,20.815212664657267,-114.48366965561499,10.407606332328626,-52.03803166164319,10.40760633232864,33.89594263098766,-33.89594263098766,17.26848767488341,-17.26848767488341,15.93571814240888,-15.93571814240888,8.286445012787723,-8.286445012787723
"('most', 'some', 'right')",-0.002007679528739842,0.002007679528739842,-0.023256652555546813,0.023256652555546813,-0.22136829928347487,0.22136829928347487,-0.32678040545056897,0.32678040545056897,-228.96733931122998,-208.1521266465727,-104.07606332328638,-93.66845699095774,-114.48366965561499,-93.6684569909577,-52.03803166164319,-41.63042532931455,0.0023094226443447496,-0.0023094226443447496,0.0700934579439263,-0.0700934579439263,0.03277060575967994,-0.03277060575967994,0.19736842105263186,-0.19736842105263186
"('most', 'some', 'wrong')",0.0020076795280884858,-0.0020076795280884858,0.023256652555537147,-0.023256652555537147,0.22136829928344626,-0.22136829928344626,0.32678040545056664,-0.32678040545056664,-208.15212664657273,-228.96733931123,-93.66845699095774,-104.07606332328636,-93.66845699095774,-114.483669655615,-41.630425329314555,-52.03803166164318,-0.0023094226443447496,0.0023094226443447496,-0.0700934579439263,0.0700934579439263,-0.03277060575967994,0.03277060575967994,-0.19736842105263186,0.19736842105263186
"('most', 'most', 'right')",-37.69770446116685,37.69770446116685,-19.61361636586806,19.61361636586806,-24.701643377371038,24.701643377371038,-13.111239417985276,13.111239417985276,-228.96733931122998,-83.26085065862907,-104.07606332328638,-31.2228189969859,-114.48366965561499,-31.22281899698589,-52.03803166164319,-10.407606332328637,10.695418355150977,-10.695418355150977,6.990489130434781,-6.990489130434781,6.685693087671574,-6.685693087671574,4.1921397379912655,-4.1921397379912655
"('most', 'most', 'wrong')",37.697704461166296,-37.697704461166296,19.613616365868054,-19.613616365868054,24.701643377371028,-24.701643377371028,13.111239417985272,-13.111239417985272,-83.26085065862908,-228.96733931123,-31.22281899698593,-104.07606332328636,-31.222818996985904,-114.483669655615,-10.40760633232864,-52.03803166164318,-10.69541835515097,10.69541835515097,-6.990489130434781,6.990489130434781,-6.68569308767157,6.68569308767157,-4.1921397379912655,4.1921397379912655
"('most', 'all', 'right')",-124.24529466214963,124.24529466214963,-62.22096451658624,62.22096451658624,-60.54423277738775,60.54423277738775,-30.568180081932592,30.568180081932592,-228.96733931122998,20.815212664657267,-104.07606332328638,20.815212664657267,-114.48366965561499,10.407606332328626,-52.03803166164319,10.40760633232864,33.89594263098766,-33.89594263098766,17.26848767488341,-17.26848767488341,15.93571814240888,-15.93571814240888,8.286445012787723,-8.286445012787723
"('most', 'all', 'wrong')",124.2452946621496,-124.2452946621496,62.22096451658623,-62.22096451658623,60.54423277738773,-60.54423277738773,30.56818008193259,-30.56818008193259,20.815212664657224,-228.96733931123,20.815212664657267,-104.07606332328636,10.407606332328612,-114.483669655615,10.40760633232864,-52.03803166164318,-33.89594263098767,33.89594263098767,-17.26848767488341,17.26848767488341,-15.93571814240888,15.93571814240888,-8.286445012787723,8.286445012787723
"('all', 'none', 'right')",228.96733931123,-228.96733931123,104.07606332328638,-104.07606332328638,114.483669655615,-114.483669655615,52.03803166164319,-52.03803166164319,228.96733931123,-228.96733931123,104.07606332328636,-104.07606332328636,114.483669655615,-114.483669655615,52.03803166164318,-52.03803166164318,-66.0,66.0,-30.0,30.0,-33.0,33.0,-15.0,15.0
"('all', 'none', 'wrong')",-228.96733931123003,228.96733931123003,-104.07606332328639,104.07606332328639,-114.48366965561502,114.48366965561502,-52.038031661643195,52.038031661643195,-228.96733931122998,228.96733931122998,-104.07606332328638,104.07606332328638,-114.48366965561499,114.48366965561499,-52.03803166164319,52.03803166164319,66.0,-66.0,30.0,-30.0,33.0,-33.0,15.0,-15.0
"('all', 'some', 'right')",-1.6877628602180432,1.6877628602180432,-0.7671649364626548,0.7671649364626548,-5.20781130413788,5.20781130413788,-2.3671869564263077,2.3671869564263077,-228.96733931122998,-190.80611609269164,-104.07606332328638,-86.73005276940532,-114.48366965561499,-76.32244643707665,-52.03803166164319,-34.692021107762116,5.5,-5.5,2.5,-2.5,5.5,-5.5,2.5,-2.5
"('all', 'some', 'wrong')",1.6877628602175456,-1.6877628602175456,0.7671649364626449,-0.7671649364626449,5.207811304137866,-5.207811304137866,2.3671869564263055,-2.3671869564263055,-190.80611609269164,-228.96733931123,-86.73005276940532,-104.07606332328636,-76.32244643707669,-114.483669655615,-34.69202110776213,-52.03803166164318,-5.5,5.5,-2.5,2.5,-5.5,5.5,-2.5,2.5
"('all', 'most', 'right')",-80.30453495247059,80.30453495247059,-36.502061342032086,36.502061342032086,-55.955088828248066,55.955088828248066,-25.434131285567304,25.434131285567304,-228.96733931122998,38.16122321853838,-104.07606332328638,17.34601055388108,-114.48366965561499,38.16122321853834,-52.03803166164319,17.346010553881065,38.5,-38.5,17.5,-17.5,22.0,-22.0,10.0,-10.0
"('all', 'most', 'wrong')",80.30453495247056,-80.30453495247056,36.50206134203208,-36.50206134203208,55.95508882824806,-55.95508882824806,25.4341312855673,-25.4341312855673,38.16122321853831,-228.96733931123,17.346010553881055,-104.07606332328636,38.16122321853833,-114.483669655615,17.346010553881058,-52.03803166164318,-38.5,38.5,-17.5,17.5,-22.0,22.0,-10.0,10.0
"('all', 'all', 'right')",-228.96733931123003,228.96733931123003,-104.07606332328639,104.07606332328639,-114.48366965561502,114.48366965561502,-52.038031661643195,52.038031661643195,-228.96733931122998,228.96733931122998,-104.07606332328638,104.07606332328638,-114.48366965561499,114.48366965561499,-52.03803166164319,52.03803166164319,66.0,-66.0,30.0,-30.0,33.0,-33.0,15.0,-15.0
"('all', 'all', 'wrong')",228.96733931123,-228.96733931123,104.07606332328638,-104.07606332328638,114.483669655615,-114.483669655615,52.03803166164319,-52.03803166164319,228.96733931123,-228.96733931123,104.07606332328636,-104.07606332328636,114.483669655615,-114.483669655615,52.03803166164318,-52.03803166164318,-66.0,66.0,-30.0,30.0,-33.0,33.0,-15.0,15.0
